Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
via christus	0	1	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	1	0	3	0	4	4	0	1	9	0	4	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	1	5	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	1	6	2	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
birthmomtalks	1	7	1	1	2	5	2	2	6	4	2	0	6	14	6	1	3	2	3	0	5	13	2	7	4	6	1	8	4	1	5	4	1	2	6	10	4	1	7	0	6	0	2	4	2	1	4	2	2	10	5	4	1	3	1	0	11	0	3	5	0	1	2	4	7	1	2	1	4	1	2	1	11	0	0	6	5	11	7	1	1	0	2	0	2	1	0	0	2	1	4	8	6	0	4	6	2	1	0	0	0	5	2	3	0	2	1	3	1	8	2	4	13	9	0	1	6	1	0	1	26	0	16	4	1	1	3	0	5	0	0	1	2	3	1	6	1	0	6	3	0	0	4	2	15	0	6	2	2	2	2	1	5	1	0	6	1	2	1	5	3	3	1	7	4	0	0	3	3	4	1	0	1	0	0	8	0	12	0	3	6	2	2	4	0	1	5	2	0	0	1	3	1	4	2	1	0	0	1	2	18	9	1	8	2	0	2	0	3	0	0	1	1	0	1	0	1	2	3	1	4	0	3	1	4	6	1	0	3	10	2	1	2	1	0	1	1	0	1	3	0	27	0	2	0	0	0	3	0	1	0	0	1	2	0	3	2	1	3	0	0	1	1	0	2	0	0	1	2	1	3	0	1	0	0	1	0	0	3	1	1	2	0	0	0	0	0	0	1	0	3	2	2	0	0	0	0	2	0	1	1	0	3	0	0	0	0	0	0	2	1	2	1	1	1	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	6	0	0	1	1	7	0	0	1	0	0	3	2	0	0	0	0	0	0	3	0	4	0	0	0	1	0	0	1	1	1	6	0	1	0	0	11	4	14	2	0	0	0	1	3	0	0	0	1	1	0	0	0	1	2	1	0	0	0	0	6	2	3	0	0	0	0	0	0	0	1	3	0	0	1	1	4	3	0	0	3	1	2	0	0	0	0	0	1	0	0	2	0	4	0	3	1	0	4	1	0	1	0	0	0	1	1	0	2	0	0	1	1	0	0	0	1	0	0	0	6	1	0	2	2	1	2	1	0	0	2	2	1	0	10	6	0	0	1	1	6	5	1	0	0	1	1	1	1	1	0	1	0	0	2	3	2	0	2	2
GAMES AND GADGETS	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	3	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	2	4	3	0	5	0	2	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	2	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	3	0	1	0	1	0	0	0	0	1	0	0	1	0	2	2	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	4	0	2	5	0	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	6	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0
Brittonia	8	8	1	2	12	5	8	2	9	5	1	3	7	1	5	5	5	3	11	4	6	2	10	6	4	2	3	9	6	3	3	2	4	11	7	11	1	8	0	10	2	3	4	22	8	5	0	14	4	3	9	4	16	6	5	12	5	3	2	6	5	0	3	20	2	11	7	2	7	0	0	2	7	0	4	1	2	2	1	6	16	6	12	1	9	10	11	30	0	11	1	3	3	2	9	4	8	3	6	7	1	2	0	2	5	3	16	2	4	2	10	2	5	7	31	1	1	5	1	8	0	14	3	2	0	2	4	0	1	38	6	3	4	1	3	2	15	0	13	5	2	4	3	5	4	17	4	0	2	2	0	2	0	12	2	1	2	8	4	0	4	3	8	3	4	3	7	5	7	1	9	4	4	5	4	3	31	6	0	2	4	1	1	1	1	11	3	16	1	8	9	5	6	10	3	3	2	4	1	0	0	2	4	0	11	8	2	6	8	13	2	0	1	2	3	2	3	1	2	2	0	4	3	5	1	0	12	0	5	0	2	3	0	6	7	0	7	19	1	1	1	1	3	1	6	13	2	12	5	0	13	2	2	4	26	0	15	1	2	12	13	4	0	3	5	24	0	2	6	5	7	4	1	1	3	3	4	2	9	0	9	1	1	13	10	12	0	10	5	0	1	1	1	13	5	0	1	0	12	17	0	1	12	3	20	6	1	4	2	5	1	2	0	8	3	0	1	1	3	0	2	2	1	7	2	5	17	1	1	5	4	6	12	2	15	2	2	9	1	1	2	34	28	0	0	8	6	8	29	0	4	0	7	3	1	6	5	1	1	3	2	1	1	2	1	5	1	3	2	3	4	2	7	0	6	0	3	1	0	9	1	0	4	1	3	0	0	0	5	6	6	3	6	2	0	12	8	2	1	0	2	4	6	3	4	2	1	8	4	3	2	5	3	0	4	0	0	5	1	1	1	6	6	4	13	3	2	1	4	0	1	8	2	0	4	1	0	3	1	0	1	9	3	1	3	1	2	0	0	0	0	15	21	0	1	0	2	5	1	4	2	0	7	0	0	3	7	1	0	3	1	3	0	4	4	3	0	2	1	3	0	0	2	2	5	5	0	3	16	3	1	2	2	1	4	2	2	3	1	9
Straight-jacket Express	6	7	5	9	10	13	7	11	8	7	7	4	21	15	11	12	8	5	11	13	3	8	6	5	6	5	7	7	11	10	23	13	2	1	9	19	19	6	6	4	17	5	11	6	13	6	63	5	2	13	15	5	0	11	2	4	3	4	1	3	3	4	10	6	3	8	4	14	17	23	10	5	7	8	3	5	8	9	9	3	3	1	3	9	3	2	8	2	6	0	4	10	7	2	6	7	16	2	6	0	0	6	2	11	5	4	0	3	10	4	4	2	9	2	15	6	8	1	4	1	34	0	5	5	2	9	5	7	6	7	8	10	5	6	7	2	2	2	4	6	4	3	7	5	9	1	9	3	4	6	2	8	12	5	0	8	4	6	12	9	11	5	7	5	0	3	0	4	4	4	3	2	6	2	3	2	1	7	7	11	2	5	4	5	18	3	1	6	3	9	4	2	7	6	4	4	0	7	3	3	14	4	3	9	2	0	20	2	3	0	4	2	3	2	11	7	4	4	7	3	3	5	5	8	2	13	3	1	1	4	2	1	3	3	3	1	2	0	3	6	9	2	2	1	0	4	2	1	0	3	0	6	4	4	13	2	6	4	4	1	0	5	3	3	2	0	2	2	3	3	2	6	7	0	0	7	3	0	13	1	10	2	1	1	0	1	6	0	4	6	1	10	6	2	9	6	0	26	1	0	5	4	0	0	0	0	5	5	2	9	3	3	8	3	10	0	4	9	0	3	1	3	4	1	0	4	2	4	5	4	0	1	2	6	0	0	0	0	2	7	0	0	3	3	10	0	4	1	2	2	0	4	2	0	0	0	5	4	10	5	10	2	2	1	6	0	0	3	6	4	14	2	5	0	1	4	4	5	16	6	11	10	3	2	0	2	0	2	0	3	1	0	0	1	2	13	0	0	0	0	5	3	1	1	0	0	0	2	2	3	0	3	0	0	3	4	3	2	2	1	5	8	1	3	4	1	3	3	1	3	1	0	2	8	2	6	18	1	1	4	2	6	0	1	0	6	4	3	8	1	0	2	2	1	0	2	5	1	1	1	1	0	1	0	0	0	0	1	6	0	1	0	2	1	4	0	4	0	3	0	5	3	2	0	0	3	2	1	1	1	0	6	2	3	4	2	7	7	6	1
Marginal Thoughts	10	1	9	6	11	1	2	1	2	5	5	3	4	2	6	4	1	6	2	3	6	3	2	2	3	2	1	4	5	2	0	2	1	17	8	0	3	0	0	2	0	12	2	14	2	15	0	2	4	0	4	2	2	3	3	1	2	6	4	2	11	1	6	1	2	3	3	5	2	3	7	1	0	4	2	4	5	2	0	1	4	2	11	0	1	3	3	0	0	3	2	3	4	4	1	3	4	4	0	0	0	0	2	0	4	2	13	1	5	2	1	0	3	1	118	2	1	4	4	1	5	0	3	4	0	0	1	0	7	2	7	4	6	1	6	1	4	0	1	2	17	0	2	3	17	5	2	1	2	5	1	3	6	7	2	1	1	2	2	4	7	1	1	0	1	4	3	5	1	3	0	4	4	4	1	10	0	7	4	2	1	1	0	0	16	0	8	3	1	3	4	0	0	2	0	4	0	1	2	0	5	6	2	0	7	3	0	3	3	3	4	6	0	3	0	8	1	0	0	2	9	1	0	5	0	0	0	6	1	1	1	0	2	2	2	1	3	0	4	0	14	9	2	0	1	0	1	3	0	1	2	5	2	1	5	2	1	0	1	1	5	0	11	0	0	1	0	1	1	0	6	0	0	0	0	1	0	17	1	1	3	1	1	6	0	0	0	0	1	2	0	0	2	2	1	3	10	11	1	4	8	3	3	0	0	11	4	0	3	0	2	0	0	0	9	0	2	0	0	3	1	0	3	0	0	1	0	0	0	1	3	10	1	2	0	2	2	0	0	2	8	8	0	1	1	0	1	0	8	0	0	0	2	7	1	0	2	1	0	0	0	1	8	6	0	0	5	0	1	6	0	0	0	0	0	1	1	0	0	0	0	2	1	6	2	0	1	0	0	3	2	0	0	6	0	4	2	1	0	0	0	1	5	1	4	0	5	1	1	0	0	2	0	3	0	0	1	0	0	0	4	1	0	1	0	0	0	2	0	0	4	2	1	0	1	0	1	0	6	1	5	7	0	6	1	3	0	1	3	2	6	3	1	1	0	0	0	2	2	4	2	0	0	3	0	9	0	2	3	0	0	0	0	1	1	0	0	1	2	1	2	1	1	3	0	1	0	2	0	1	0	3	2	2	1	9	0	2	0	0
mon coeur	0	1	0	1	0	2	3	0	0	3	0	0	0	1	1	2	0	2	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	4	3	1	0	0	0	0	0	1	1	3	2	0	2	0	0	3	2	0	2	0	0	0	3	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	2	0	0	2	1	0	5	0	1	0	1	4	1	5	0	2	0	0	0	0	1	0	0	2	0	1	0	0	1	3	0	0	0	5	0	0	1	1	2	2	1	0	2	0	0	0	1	1	0	0	0	1	0	0	1	2	0	3	2	0	0	1	0	0	1	1	0	1	2	2	0	1	1	3	3	1	0	0	1	1	2	0	8	5	0	0	0	0	1	0	1	0	1	0	2	0	0	0	3	0	0	0	2	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	4	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0
Debatables	0	1	3	0	0	0	0	0	0	1	1	0	1	0	5	0	1	0	2	1	3	0	1	2	0	1	0	2	2	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	4	0	2	0	5	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	2	1	0	2	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	3	0	4	2	1	0	0	0	1	3	5	0	3	0	0	0	0	0	0	3	0	0	1	0	0	1	2	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	4	0	1	0	0	0	0	2	1	0	0	6	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	2	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	1	0	1	0	1	3	0	1	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	2	2	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	3	0	2	0	0	0	0	0	1	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	1	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1
Books and Authors	16	3	7	1	4	6	2	2	3	1	10	5	2	3	11	4	7	1	7	0	2	8	1	5	2	5	5	6	8	4	4	1	7	15	9	2	3	3	3	4	0	11	1	5	3	4	0	19	2	1	0	6	2	1	13	4	2	4	10	2	12	8	4	1	11	6	1	0	5	2	3	6	3	0	1	2	3	3	1	11	4	5	2	1	2	1	10	96	0	14	4	8	7	7	6	20	10	2	8	8	74	0	3	0	2	3	10	2	4	2	6	47	2	9	7	9	2	6	2	18	0	1	9	1	0	0	1	1	6	7	4	0	9	3	3	1	20	0	5	2	1	6	8	4	0	10	9	4	0	0	17	2	10	12	7	3	0	1	3	1	8	1	4	0	4	0	8	9	0	1	1	3	4	2	5	2	0	7	5	4	1	6	9	0	1	3	7	4	1	0	5	1	5	5	6	2	0	2	2	4	2	1	7	0	5	2	4	1	6	0	2	12	7	4	2	5	1	1	3	1	1	2	1	12	3	0	4	1	3	2	1	5	3	5	4	1	3	5	10	2	1	0	3	0	6	2	2	2	4	2	5	1	15	3	5	0	3	6	0	45	3	3	9	1	8	0	4	0	7	3	1	2	1	1	1	0	4	6	4	3	0	7	0	14	2	5	1	60	0	3	7	1	1	0	1	0	2	3	3	5	0	3	0	3	3	4	2	7	2	1	3	0	0	4	17	0	2	0	27	11	8	4	3	6	3	0	2	1	0	3	1	2	31	1	3	2	3	0	0	0	8	3	1	3	2	1	1	1	4	0	3	1	2	8	0	1	4	0	2	2	1	2	1	3	2	3	3	7	2	2	0	16	5	2	9	0	2	4	3	8	0	2	7	9	0	0	6	6	0	8	2	2	1	5	0	3	1	3	4	0	1	7	7	0	2	0	2	3	18	1	0	1	2	2	3	1	0	14	2	3	1	1	2	5	11	4	0	0	0	0	1	3	4	5	5	5	1	0	4	14	0	5	2	0	0	3	1	6	0	5	2	7	5	3	2	0	1	4	3	0	0	0	0	0	10	0	0	6	4	0	2	0	1	0	1	0	3	2	0	7	2	2	0	3	0	0	0	0	4	3	6	5	1	2	2	2	1	0	2	3
Nothing more or less than Myself	0	0	0	0	1	0	1	1	0	2	2	0	0	0	0	2	0	0	1	0	0	5	0	0	0	1	3	3	3	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	5	2	0	1	0	1	0	1	1	0	0	3	1	0	0	0	0	0	2	1	1	1	0	0	3	0	1	0	1	0	1	0	0	1	0	3	0	1	0	0	0	0	4	0	2	2	0	0	0	1	0	3	0	1	2	2	0	1	0	1	2	0	0	17	0	0	0	0	1	4	0	1	1	0	1	2	0	0	0	1	0	0	1	1	0	3	2	3	4	1	0	0	0	0	2	1	1	2	0	2	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	4	5	0	1	1	0	1	0	2	0	0	0	0	1	0	0	0	1	1	1	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	3	1	1	3	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	3	3	0	4	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	1	0	3	2	0	1	0	0	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Life is Such, Such is Life	3	4	0	6	5	1	0	1	4	0	8	6	5	2	4	0	3	1	1	3	2	1	0	3	1	6	1	24	4	3	2	0	4	3	5	0	0	0	0	7	0	0	2	8	1	4	1	0	4	0	7	3	0	1	2	2	1	0	21	0	1	0	3	3	3	9	2	1	1	0	0	0	1	0	0	1	2	1	0	1	0	2	2	1	3	1	4	0	9	3	8	0	5	0	0	4	0	2	3	3	5	2	3	2	1	4	7	3	0	2	6	0	0	1	1	7	0	2	0	1	0	1	3	4	0	4	1	1	6	0	0	0	12	7	0	2	7	1	0	0	0	3	1	1	0	8	1	1	0	1	1	0	2	6	4	1	1	2	0	2	0	0	3	2	8	6	3	2	1	0	5	2	0	4	0	1	1	0	1	0	4	0	1	1	0	2	0	2	6	0	0	1	4	7	5	0	0	3	2	0	0	0	2	0	3	0	3	0	1	0	1	1	2	4	1	0	0	1	2	0	1	0	1	2	1	0	0	0	3	0	0	1	1	2	1	0	3	0	7	2	0	0	2	0	0	1	3	0	0	6	1	1	10	1	0	0	25	6	2	1	0	0	1	1	3	0	0	0	6	0	2	0	3	3	3	0	2	1	10	2	4	2	2	1	1	2	0	0	0	3	2	1	2	0	0	0	0	0	2	0	0	2	0	1	0	0	0	3	0	3	3	0	0	0	0	2	1	2	0	2	0	1	0	6	1	3	0	0	1	4	0	2	1	4	0	0	3	1	3	0	5	6	0	1	1	1	3	1	0	3	4	0	0	0	3	2	3	2	1	0	0	0	0	4	1	1	2	1	2	0	0	0	1	0	0	0	0	3	0	0	0	0	3	1	0	0	0	2	0	3	2	0	2	0	1	1	2	0	0	0	0	2	1	2	1	2	3	4	2	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	2	1	7	1	0	1	2	1	0	2	1	0	1	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	4	3	0	0	1	0	0	3	0	0	1	1	2	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	1	2	0	0	1	0	0	4	0	0	0	0
Cliff Mass Weather Blog	5	1	2	4	3	0	0	6	1	15	4	5	3	0	3	2	3	11	1	1	11	0	7	2	7	2	5	0	0	3	2	1	5	2	2	0	4	4	1	3	4	0	6	0	1	15	2	11	19	4	1	1	1	2	3	5	1	0	6	11	5	9	1	1	4	12	6	16	3	0	2	1	4	2	9	2	8	2	9	2	4	5	9	10	6	2	1	2	7	1	1	4	0	1	9	3	1	3	10	0	8	0	3	4	1	1	3	0	32	1	10	1	4	2	1	0	1	7	10	0	0	2	2	1	1	3	0	3	0	9	0	0	13	3	5	1	4	2	0	5	2	4	0	1	0	0	1	9	1	2	0	1	0	1	3	2	32	11	6	1	6	0	1	3	2	1	2	4	5	8	13	4	2	10	0	2	4	3	1	0	25	0	10	0	0	8	0	3	6	0	1	2	0	2	0	8	18	0	0	0	0	2	0	0	2	5	1	0	0	1	1	2	3	0	3	1	2	0	0	0	4	2	18	1	8	3	2	4	2	5	20	0	55	0	1	0	0	6	0	2	14	1	2	0	0	2	12	10	1	0	0	1	1	11	0	0	0	2	6	0	1	1	0	2	5	5	5	0	1	0	3	1	0	0	3	0	0	12	0	3	0	3	3	1	1	8	0	8	0	3	0	1	0	7	0	0	5	1	0	3	1	3	1	5	1	1	1	1	8	2	0	0	0	1	0	0	2	4	4	1	0	0	3	9	4	4	13	9	7	1	0	0	0	6	3	0	3	2	1	0	1	14	3	65	0	1	2	20	0	2	1	0	20	0	15	0	14	2	5	0	0	1	4	1	0	2	2	1	1	1	0	9	7	0	3	56	0	3	0	2	0	3	1	0	4	71	2	0	5	0	0	0	7	2	1	0	3	0	0	3	2	2	2	2	1	2	0	10	20	3	2	1	2	6	0	0	0	0	1	0	1	0	0	3	2	1	0	0	0	2	0	12	3	0	3	0	1	2	4	1	0	0	2	3	1	0	2	1	0	3	0	0	0	3	1	0	1	2	3	0	0	0	0	0	4	0	7	1	0	0	1	1	20	7	4	1	2	4	0	2	1	2	0	1	24	0	1	0	5	1	3	0	2	1	8	0	1	0	4	0
